iter	Passed	Remaining
0	185	185726
1	188	93817
2	189	63097
3	191	47768
4	193	38537
5	200	33195
6	202	28742
7	204	25356
8	207	22874
9	209	20739
10	211	19006
11	215	17773
12	218	16612
13	220	15549
14	224	14709
15	227	13984
16	230	13303
17	232	12696
18	234	12125
19	237	11623
20	239	11185
21	243	10836
22	245	10433
23	247	10055
24	248	9709
25	253	9490
26	258	9332
27	261	9077
28	263	8817
29	265	8573
30	266	8345
31	268	8133
32	272	7982
33	274	7801
34	276	7620
35	280	7506
36	282	7343
37	286	7253
38	288	7115
39	290	6980
40	292	6840
41	294	6713
42	296	6597
43	300	6524
44	304	6460
45	306	6347
46	308	6251
47	310	6154
48	312	6060
49	314	5984
50	317	5902
51	319	5823
52	322	5763
53	324	5688
54	329	5657
55	331	5582
56	333	5509
57	334	5439
58	336	5369
59	338	5301
60	340	5236
61	343	5203
62	345	5142
63	347	5082
64	349	5023
65	350	4966
66	352	4912
67	354	4857
68	357	4829
69	359	4779
70	362	4739
71	363	4689
72	365	4641
73	367	4594
74	369	4552
75	370	4507
76	372	4469
77	374	4429
78	376	4386
79	377	4346
80	379	4305
81	381	4267
82	382	4221
83	383	4183
84	387	4173
85	389	4140
86	391	4105
87	393	4073
88	394	4040
89	396	4007
90	397	3974
91	401	3959
92	403	3939
93	406	3914
94	408	3887
95	410	3866
96	412	3837
97	413	3808
98	417	3796
99	419	3772
100	420	3746
101	422	3720
102	423	3691
103	425	3665
104	427	3640
105	428	3616
106	432	3608
107	434	3588
108	436	3565
109	437	3541
110	439	3518
111	440	3495
112	442	3473
113	443	3450
114	447	3446
115	449	3426
116	450	3402
117	452	3382
118	454	3362
119	455	3341
120	457	3322
121	458	3300
122	462	3298
123	464	3279
124	465	3261
125	467	3243
126	468	3223
127	470	3205
128	472	3188
129	473	3171
130	477	3165
131	479	3150
132	480	3133
133	482	3118
134	484	3103
135	485	3085
136	487	3069
137	488	3054
138	492	3051
139	494	3036
140	496	3021
141	497	3003
142	498	2987
143	499	2971
144	501	2956
145	503	2943
146	504	2929
147	507	2922
148	509	2910
149	511	2898
150	513	2889
151	515	2876
152	516	2861
153	518	2848
154	521	2842
155	523	2831
156	524	2817
157	526	2806
158	528	2795
159	531	2789
160	532	2775
161	540	2797
162	542	2786
163	544	2777
164	546	2767
165	549	2759
166	553	2761
167	556	2753
168	558	2748
169	561	2741
170	565	2740
171	569	2740
172	571	2733
173	575	2732
174	577	2723
175	579	2714
176	582	2709
177	588	2718
178	594	2725
179	596	2715
180	602	2727
181	606	2725
182	609	2719
183	613	2722
184	617	2718
185	620	2713
186	622	2705
187	624	2696
188	630	2704
189	632	2696
190	634	2688
191	636	2677
192	637	2667
193	640	2661
194	644	2661
195	647	2656
196	649	2647
197	651	2637
198	653	2629
199	655	2621
200	660	2627
201	664	2623
202	665	2614
203	668	2609
204	670	2600
205	673	2595
206	676	2591
207	680	2592
208	682	2583
209	684	2573
210	685	2564
211	689	2563
212	692	2558
213	697	2561
214	699	2554
215	705	2561
216	709	2558
217	711	2552
218	713	2545
219	723	2564
220	728	2567
221	730	2560
222	732	2551
223	738	2557
224	740	2548
225	741	2540
226	744	2536
227	746	2527
228	751	2531
229	754	2525
230	757	2520
231	760	2516
232	762	2509
233	767	2513
234	771	2511
235	773	2505
236	776	2498
237	778	2492
238	782	2491
239	786	2491
240	788	2484
241	790	2477
242	792	2470
243	794	2461
244	800	2465
245	802	2458
246	803	2450
247	806	2446
248	808	2438
249	811	2434
250	813	2428
251	815	2421
252	817	2415
253	819	2407
254	821	2400
255	823	2393
256	827	2393
257	830	2388
258	832	2381
259	834	2374
260	836	2367
261	837	2360
262	841	2357
263	843	2351
264	845	2345
265	847	2337
266	849	2330
267	850	2324
268	852	2317
269	856	2314
270	858	2308
271	860	2302
272	862	2295
273	864	2289
274	866	2283
275	871	2285
276	873	2279
277	874	2272
278	876	2265
279	879	2261
280	881	2254
281	882	2248
282	886	2247
283	888	2240
284	890	2233
285	892	2227
286	893	2220
287	895	2214
288	897	2207
289	899	2203
290	902	2198
291	904	2192
292	905	2185
293	907	2179
294	909	2173
295	911	2166
296	912	2160
297	916	2159
298	918	2153
299	920	2147
300	921	2140
